id,name,area,city,latitude,longitude,specialties,price_min,price_max,opening_time,closing_time,open_24x7,phone
bh-001,Apex Care Multispeciality Hospital,Borivali West,Mumbai,19.2307,72.8567,cardiology;orthopedics;general medicine,700,1800,00:00,23:59,true,+91-22-40001001
bh-002,Sanjeevani Heart and Diabetes Clinic,Borivali East,Mumbai,19.2292,72.8659,cardiology;diabetology;general medicine,600,1400,08:00,21:00,false,+91-22-40001002
bh-003,Shree Child and Women Hospital,Kandivali West,Mumbai,19.2071,72.8425,pediatrics;gynecology;general medicine,500,1300,09:00,20:00,false,+91-22-40001003
bh-004,Norburn Neuro Care Center,Dahisar East,Mumbai,19.2506,72.8734,neurology;general medicine,900,2200,10:00,20:30,false,+91-22-40001004
bh-005,Metro Ortho and Trauma Hospital,Borivali East,Mumbai,19.2354,72.8618,orthopedics;emergency;physiotherapy,800,2000,00:00,23:59,true,+91-22-40001005
bh-006,Budget Plus Community Hospital,Dahisar West,Mumbai,19.2494,72.8444,general medicine;ent;dermatology,400,1000,08:30,19:00,false,+91-22-40001006
bh-007,WellSpring Cancer and Diagnostics,Malad West,Mumbai,19.1848,72.8347,oncology;radiology;general medicine,1200,3200,09:00,20:00,false,+91-22-40001007
bh-008,Coastal Kidney and Urology Center,Borivali West,Mumbai,19.2321,72.8508,nephrology;urology;general medicine,1000,2600,09:00,21:00,false,+91-22-40001008
bh-009,Family First Multicare Hospital,Gorai,Mumbai,19.2472,72.8236,general medicine;pediatrics;cardiology,550,1500,07:30,22:00,false,+91-22-40001009
bh-010,RapidCare Emergency Hospital,Kandivali East,Mumbai,19.2058,72.8675,emergency;general medicine;orthopedics,700,1700,00:00,23:59,true,+91-22-40001010
bh-011,Sunrise Family Clinic,Malad East,Mumbai,19.1865,72.8560,general medicine;pediatrics,500,1200,08:00,21:00,false,+91-22-40001011
bh-012,GreenLeaf Dental and ENT Care,Goregaon West,Mumbai,19.1647,72.8493,dentistry;ent;general medicine,400,1100,09:00,20:00,false,+91-22-40001012
bh-013,LifeLine Multispeciality Clinic,Kandivali East,Mumbai,19.2095,72.8701,cardiology;general medicine;diabetology,600,1500,08:30,21:30,false,+91-22-40001013
bh-014,Urban Health Center,Malad West,Mumbai,19.1883,72.8355,general medicine;dermatology;ent,500,1300,09:00,20:00,false,+91-22-40001014
bh-015,NorthStar Ortho Clinic,Dahisar West,Mumbai,19.2512,72.8457,orthopedics;physiotherapy,700,1700,10:00,21:00,false,+91-22-40001015
bh-016,Prime Heart Care,Borivali West,Mumbai,19.2315,72.8532,cardiology;general medicine,900,2200,09:00,20:30,false,+91-22-40001016
